=== Tile Grid Scaling ===
=== Task btor ===
Task						Result (MI)	Result (IA)	Process (MI)	Process (IA)	Clock (MI)	Clock (IA)
I16_O16_C16_W2_H2_F8_N6_D4_S0_T600		PASS		PASS		0:00:02		0:00:01		0:00:02		0:00:01
I16_O16_C16_W3_H3_F8_N6_D4_S0_T600		PASS		PASS		0:00:14		0:00:06		0:00:14		0:00:06
I16_O16_C16_W4_H4_F8_N6_D4_S0_T600		PASS		PASS		0:01:10		0:00:21		0:01:10		0:00:20
I16_O16_C16_W5_H5_F8_N6_D4_S0_T600		PASS		PASS		0:04:33		0:00:42		0:04:32		0:00:42
I16_O16_C16_W6_H6_F8_N6_D4_S0_T600		TIMEOUT		PASS		0:10:01		0:01:24		0:00:00		0:01:24
I16_O16_C16_W7_H7_F8_N6_D4_S0_T600		---		PASS		---		0:02:22		---		0:02:22
I16_O16_C16_W8_H8_F8_N6_D4_S0_T600		---		PASS		---		0:04:00		---		0:04:00
I16_O16_C16_W9_H9_F8_N6_D4_S0_T600		---		PASS		---		0:06:21		---		0:06:20
I16_O16_C16_W10_H10_F8_N6_D4_S0_T600		---		PASS		---		0:09:27		---		0:09:26
I16_O16_C16_W11_H11_F8_N6_D4_S0_T600		---		TIMEOUT		---		0:10:01		---		0:00:05

=== Task bitwuzla ===
Task						Result (MI)	Result (IA)	Process (MI)	Process (IA)	Clock (MI)	Clock (IA)
I16_O16_C16_W2_H2_F8_N6_D4_S0_T600		PASS		PASS		0:00:03		0:00:05		0:00:03		0:00:05
I16_O16_C16_W3_H3_F8_N6_D4_S0_T600		PASS		PASS		0:00:14		0:00:29		0:00:14		0:00:29
I16_O16_C16_W4_H4_F8_N6_D4_S0_T600		PASS		PASS		0:00:37		0:01:52		0:00:37		0:01:53
I16_O16_C16_W5_H5_F8_N6_D4_S0_T600		PASS		PASS		0:02:35		0:05:30		0:02:35		0:05:30
I16_O16_C16_W6_H6_F8_N6_D4_S0_T600		PASS		TIMEOUT		0:09:36		0:10:01		0:09:35		0:00:01
I16_O16_C16_W7_H7_F8_N6_D4_S0_T600		TIMEOUT		---		0:10:01		---		0:00:01		---

=== Task abc ===
Task						Result (MI)	Result (IA)	Process (MI)	Process (IA)	Clock (MI)	Clock (IA)
I16_O16_C16_W2_H2_F8_N6_D4_S0_T600		PASS		PASS		0:00:00		0:00:00		0:00:00		0:00:00
